meta_row_id	sample_id	video_id	mode	label	strong_static	oracle_prediction	strong_static_absolute_error	oracle_absolute_error	oracle_gain	reason	direction
42cd3f24fc153d9bea423bf0a874f745b06e0a9fc78bc6d9a2e0514d41800895	-HwX2H8Z4hY$_$1	-HwX2H8Z4hY	L	-0.6666666865	-0.6649157707	-0.6236800551	0.001750915777	0.0429866314	-0.04123571562	static convex combination closer than every single Expert	A
c26a3112af102a36a981de130ff9c3b8c4a39a37f5fc8f1daa6dc639a7b39057	-HwX2H8Z4hY$_$1	-HwX2H8Z4hY	LA	-0.6666666865	-0.6711663071	-0.6294153929	0.004499620578	0.0372512936	-0.03275167302	static convex combination closer than every single Expert	A
213da60166e09de8b2beaf87741de329b990241cfeaae99ed09046e34fc7c0a6	-HwX2H8Z4hY$_$1	-HwX2H8Z4hY	LAV	-0.6666666865	-0.6873160258	-0.6349065304	0.02064933927	0.0317601561	-0.01111081683	static convex combination closer than every single Expert	A
87038922025130df0cb34c35eb3d1f821002f712503e71a7e0ab76b50edc4c68	-HwX2H8Z4hY$_$1	-HwX2H8Z4hY	LV	-0.6666666865	-0.6811467305	-0.6295461059	0.01448004399	0.0371205806	-0.02264053661	static convex combination closer than every single Expert	A
376482a138415f738ccd7c0f92122501f8cd1a8e40b878cd33edde6aa0b611ce	-HwX2H8Z4hY$_$0	-HwX2H8Z4hY	L	0	-0.03558482312	0.0758119747	0.03558482312	0.0758119747	-0.04022715158	static convex combination closer than every single Expert	A
ed55e0ddcc1ea177de309edd33e10022e08205a89495727ca96e5d7d5e35e55a	-HwX2H8Z4hY$_$0	-HwX2H8Z4hY	LA	0	-0.03261650244	0.07112801075	0.03261650244	0.07112801075	-0.03851150831	static convex combination closer than every single Expert	A
774fa3dec201dcf9090dace0e3d29fd03fc7850761732011795a8d92801cfcfe	-HwX2H8Z4hY$_$0	-HwX2H8Z4hY	LAV	0	-0.02032917202	-0.07396035641	0.02032917202	0.07396035641	-0.05363118439	static convex combination closer than every single Expert	A
29807197b22f828e27448b57e4ee572421b1955f41ed0e276fa2f2d49c8ae396	-HwX2H8Z4hY$_$0	-HwX2H8Z4hY	LV	0	-0.02104292836	-0.07848843187	0.02104292836	0.07848843187	-0.05744550351	static convex combination closer than every single Expert	A
a66aa1f566f5268899dc81a9e6fcbc2ce5c967175f7c9cc3e32ccd548797f5f3	-HwX2H8Z4hY$_$5	-HwX2H8Z4hY	L	-1	-1.001971026	-0.9632359147	0.001971025636	0.0367640853	-0.03479305966	static convex combination closer than every single Expert	A
5b5aa4c6b0f3a79b390d328edc6cfa45867430c3b57484e5b1f177da84608dac	-HwX2H8Z4hY$_$5	-HwX2H8Z4hY	LA	-1	-1.007864504	-0.9591095448	0.007864503806	0.0408904552	-0.03302595139	static convex combination closer than every single Expert	A
d6269b50802f21607cefea615d5cdbfcac29abfcd64b4346072e48178ee1e069	-WXXTNIJcVM$_$3	-WXXTNIJcVM	LAV	1.666666627	1.667417433	1.642789245	0.0007508056022	0.023877382	-0.0231265764	static convex combination closer than every single Expert	A
7ad31d07f9a730b9bb9e82b6d8a8c4715d82e979c05238a4478e4bbc91492ab9	-WXXTNIJcVM$_$3	-WXXTNIJcVM	LV	1.666666627	1.647909248	1.626431584	0.01875737853	0.040235043	-0.02147766447	static convex combination closer than every single Expert	A
615f7764af367607b643ae24068fd8b1d719fc0e44771d2997afa2708730d444	-aqamKhZ1Ec$_$5	-aqamKhZ1Ec	L	-0.3333333433	-0.3226011354	-0.3484679163	0.01073220793	0.015134573	-0.004402365068	static convex combination closer than every single Expert	A
5fe28ecb3a4704f03b9ee3e5ff73de85f92eb3d16f68c184f1dd32dae916857a	-aqamKhZ1Ec$_$5	-aqamKhZ1Ec	LA	-0.3333333433	-0.3407785737	-0.3624882996	0.007445230449	0.0291549563	-0.02170972585	static convex combination closer than every single Expert	A
83627cbb38a60d7eecddc58a79e8592365f8baf1401fd5ff4418fd35c4d08bf7	-aqamKhZ1Ec$_$5	-aqamKhZ1Ec	LAV	-0.3333333433	-0.2831104579	-0.2826767862	0.05022288545	0.0506565571	-0.0004336716524	static convex combination closer than every single Expert	A
e6484a8adea86a5da2ac55efc1ab9f0cf58fabde1003ffac461df9393d1de9c2	-dxfTGcXJoc$_$4	-dxfTGcXJoc	LAV	1.666666627	1.708350518	1.624256015	0.04168389065	0.042410612	-0.0007267213496	static convex combination closer than every single Expert	A
43d2bd4100b4330614a7527097d13a048dda98b3a3bc3a6d680a43b9d74d929f	-dxfTGcXJoc$_$4	-dxfTGcXJoc	LV	1.666666627	1.699414555	1.614417076	0.03274792826	0.052249551	-0.01950162274	static convex combination closer than every single Expert	A
81c373d1198f51faf27215eaac3358a30f382c2237219c2b3ca5430c02711d49	0EphpADwdPg$_$0	0EphpADwdPg	L	0.3333333433	0.3199909725	0.2548594475	0.01334237079	0.0784738958	-0.06513152501	static convex combination closer than every single Expert	A
891d33e54e0e8199f56ed6c6910ea12e3f4e3ca8dee37b529fda7a0aedd5918d	0EphpADwdPg$_$0	0EphpADwdPg	LA	0.3333333433	0.3287036754	0.2662981749	0.004629667876	0.0670351684	-0.06240550052	static convex combination closer than every single Expert	A
ca7109657cc90fb751a3eddf8ec526bad046467f20e3c14566431d809670bef7	0EphpADwdPg$_$0	0EphpADwdPg	LAV	0.3333333433	0.3267487458	0.2630160749	0.006584597511	0.0703172684	-0.06373267089	static convex combination closer than every single Expert	A
fc7ca1d758066c9b818880e5ea52d2440cbe78f8271d8c77ee75206935db055a	0EphpADwdPg$_$0	0EphpADwdPg	LV	0.3333333433	0.3180072142	0.2504361272	0.01532612914	0.0828972161	-0.06757108696	static convex combination closer than every single Expert	A
722f0268844d78fe546f4b7ecd4bb9b910ef610bfc84280eaf0e903b6db883fb	0JuRmhhgMw8$_$0	0JuRmhhgMw8	L	1	0.9714574277	0.9544615149	0.0285425723	0.0455384851	-0.0169959128	static convex combination closer than every single Expert	A
420d87ce90b4ed45d94f3ed18beeb14f4b4ce74f2d87bfe4b7aa6360066ae12d	0JuRmhhgMw8$_$0	0JuRmhhgMw8	LA	1	0.9793449451	0.9577825069	0.0206550549	0.0422174931	-0.0215624382	static convex combination closer than every single Expert	A
07903f339d326d46947b5a3e2236f81c82d5cd8ad704a67defd2bf14d6573ba2	0JuRmhhgMw8$_$0	0JuRmhhgMw8	LAV	1	1.001331036	0.961212635	0.001331036188	0.038787365	-0.03745632881	static convex combination closer than every single Expert	A
27f49b1bba0e2df0469be7915f28fb6991066e290e894f9969564395003e3850	0JuRmhhgMw8$_$0	0JuRmhhgMw8	LV	1	0.9839306576	0.9527023435	0.01606934238	0.0472976565	-0.03122831412	static convex combination closer than every single Expert	A
7a53ace4bb594ce4173114d5c7e6121a2179561f0b8881faa81f160d3447cfaf	100499$_$5	100499	L	-1.333333373	-1.435826959	-1.438563347	0.1024935863	0.105229974	-0.002736387656	static convex combination closer than every single Expert	A
8cb03796baf56dbe705798dd69c88ebfd8fda8e0ed3428b3a7d3178433664076	101851$_$19	101851	L	-1.333333373	-1.423617322	-1.451664925	0.09028394869	0.118331552	-0.02804760331	static convex combination closer than every single Expert	A
67bcf5a8a7f39ba3db680f29aeb49af537d70fbef875d03fb0a6074f5e063763	101851$_$19	101851	LA	-1.333333373	-1.432326895	-1.204479575	0.09899352235	0.128853798	-0.02986027565	static convex combination closer than every single Expert	A
