section	fold	mode	method	expert_id	expert_left	expert_right	metric	value	reference	delta	notes
combined_oof_metric	all	LAV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	J	0.5649748215	NA	NA	NA
combined_oof_metric	all	LAV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	MAE	0.5649748215	NA	NA	NA
combined_oof_metric	all	LAV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	Corr	0.7431920882	NA	NA	NA
combined_oof_metric	all	LAV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	Acc7	0.5178855813	NA	NA	NA
combined_oof_metric	all	LAV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	Acc5	0.5382212422	NA	NA	NA
combined_oof_metric	all	LAV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	Acc2	0.8471765994	NA	NA	NA
combined_oof_metric	all	LAV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	F1	0.8461961546	NA	NA	NA
combined_oof_metric	all	LA	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	J	0.5663533611	NA	NA	NA
combined_oof_metric	all	LA	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	MAE	0.5663533611	NA	NA	NA
combined_oof_metric	all	LA	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	Corr	0.7418707104	NA	NA	NA
combined_oof_metric	all	LA	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	Acc7	0.5161705255	NA	NA	NA
combined_oof_metric	all	LA	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	Acc5	0.5362611785	NA	NA	NA
combined_oof_metric	all	LA	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	Acc2	0.8459252307	NA	NA	NA
combined_oof_metric	all	LA	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	F1	0.8449606185	NA	NA	NA
combined_oof_metric	all	LV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	J	0.5647084798	NA	NA	NA
combined_oof_metric	all	LV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	MAE	0.5647084798	NA	NA	NA
combined_oof_metric	all	LV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	Corr	0.7429820896	NA	NA	NA
combined_oof_metric	all	LV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	Acc7	0.5183755972	NA	NA	NA
combined_oof_metric	all	LV	uniform_kd_seed1111	uniform_kd_seed1111	NA	NA	Acc5	0.5390787701	NA	NA	NA
